Matrix Size,CPLEX Solution Time (Real Time (sec.)),Gurobi Solution Time (Real Time (sec.))
n=121x121,34.4729499817,1.83357810974
n=122x122,36.8389978409,1.93508601189
n=123x123,30.5089848042,1.69444203377
n=124x124,26.6677839756,1.68991994858
n=125x125,26.2561728954,2.38016200066
n=126x126,27.1641359329,1.70991802216
n=127x127,28.3469529152,2.51998710632
n=128x128,31.7364480495,1.91885399818
n=129x129,28.7059931755,2.23624992371
n=130x130,30.7240409851,1.91110801697
n=131x131,30.0914549828,2.00594305992
n=132x132,32.2353270054,1.90458106995
n=133x133,31.2822010517,2.51696896553
n=134x134,32.0438089371,2.05223989487
n=135x135,34.7022840977,2.12603592873
n=136x136,33.5995571613,2.0915620327
n=137x137,34.3257319927,1.9804520607
n=138x138,35.0494008064,2.19751095772
n=139x139,35.961493969,2.25185513496
n=140x140,36.7586500645,2.31687903404
n=141x141,38.134488821,2.29895305634
n=142x142,39.5848929882,2.35277819633
n=143x143,40.9245460033,2.33816313744
n=144x144,38.5604939461,2.39943885803
n=145x145,40.1278610229,3.0930109024
n=146x146,41.4784691334,2.72907996178
n=147x147,43.4859120846,2.53457403183
n=148x148,42.2584300041,2.49233698845
n=149x149,46.9101719856,2.60817480087
n=150x150,43.6931538582,2.79906892776
n=151x151,44.7425448895,2.62691402435
n=152x152,46.0078291893,3.39204907417
n=153x153,51.5452530384,2.77197504044
n=154x154,49.9818849564,3.797290802
n=155x155,50.0491700172,2.99846816063
n=156x156,50.7059519291,3.04719305038
n=157x157,51.336935997,3.02648687363
n=158x158,52.3455400467,3.29842782021
n=159x159,53.8323979378,3.35927987099
n=160x160,58.1771159172,2.99279594421
n=161x161,55.9376840591,3.15563082695
n=162x162,57.0549921989,3.23828887939
n=163x163,58.0227599144,3.15743494034
n=164x164,58.6940939426,3.67132592201
n=165x165,60.6162891388,3.49627804756
n=166x166,61.5079298019,4.04072499275
n=167x167,62.5619590282,3.83677697182
n=168x168,61.7785198689,3.66241812706
n=169x169,64.5824689865,3.72534203529
n=170x170,66.0694158077,4.88514709473
n=171x171,67.3646321297,3.62387514114
n=172x172,66.7134070396,3.68000197411
n=173x173,69.1723520756,3.84670495987
n=174x174,68.4734590054,3.99813508987
n=175x175,70.0045018196,5.45901203156
n=176x176,69.6207880974,5.05617713928
n=177x177,71.7854199409,4.20385193825
n=178x178,74.2036690712,4.40035891533
n=179x179,74.4866230488,4.32954096794
n=180x180,91.4976100922,5.99684500694
n=181x181,77.4983808994,4.4185230732
n=182x182,88.3926720619,4.46355414391
n=183x183,78.8805060387,4.38246107101
n=184x184,79.7381589413,4.66772818565
n=185x185,81.7638678551,4.17453384399
n=186x186,84.3741381168,4.44464111328
n=187x187,84.1946539879,4.31196498871
n=188x188,85.3699920177,6.15004515648
n=189x189,88.0566270351,5.32600998878
n=190x190,88.7505350113,5.41512608528
n=191x191,90.7523839474,6.99485421181
n=192x192,94.0995569229,4.92397093773
n=193x193,94.0280928612,4.97712802887
n=194x194,94.5649111271,6.61912107468
n=195x195,100.419514894,5.70718789101
n=196x196,112.280147076,8.59533715248
n=197x197,118.00661087,5.94835591316
n=198x198,107.998415947,7.79710888863
n=199x199,107.017313004,6.00941300392
n=200x200,104.828686953,5.55246901512
